가능,녹양,의정부,
길동,강동,굽은다리,
김포공항,개화산,송정,
까치산,화곡,신정,
답십리,마장,장한평,
동대문역사문화공원,을지로4가,청구,
둔촌동,강동,올림픽공원,
마곡,송정,발산,
마장,왕십리,답십리,
마천,거여,,
마포,여의나루,공덕,
명일,고덕,굽은다리,
목동,신정,오목교,
미사,하남풍산,상일동,
발산,마곡,우장산,
방이,올림픽공원,방이,
방화,개화산,,
상일동,고덕,미사,
서대문,충정로,광화문,
송정,김포공항,마곡,
신금호,청구,행당,
신길,영등포시장,여의도,
신정,까치산,목동,
아차산,군자,광나루,
애오개,공덕,충정로,
양평,영등포구청,오목교,
여의나루,여의도,마포,
여의도,신길,여의나루,
영등포구청,양평,영등포시장,
영등포시장,영등포구청,신길,
오금,방이,개롱,
오목교,목동,양평,
올림픽공원,둔촌동,방이,
왕십리,행당,마장,
우장산,발산,화곡,
을지로4가,종로3가,동대문역사문화공원,
장한평,답십리,군자,
종로3가,광화문,을지로4가,
천호,광나루,강동,
청구,동대문역사문화공원,신금호,
충정로,애오개,서대문,
하남풍산,미사,,
행당,신금호,왕십리,
화곡,우장산,까치산,
고려대,월곡,안암,
공덕,효창공원앞,대흥,
광흥창,대흥,상수,
구산,연신내,응암,
녹사평,이태원,삼각지,
대흥,공덕,광흥창,
독바위,연신내,불광,
돌곶이,석계,상월곡,
동묘앞,창신,신당,
디지털미디어시티,월드컵경기장,증산,
마포구청,망원,월드컵경기장,
망원,합정,마포구청,
버티고개,약수,한강진,
보문,안암,창신,
봉화산,신내,화랑대,
불광,역촌,독바위,
삼각지,녹사평,효창공원앞,
상수,광흥창,합정,
상월곡,돌곶이,월곡,
새절,증산,응암,
석계,태릉입구,돌곶이,
신내,봉화산,,
신당,동묘앞,청구,
안암,고려대,보문,
약수,청구,버티고개,
역촌,응암,불광,
연신내,구산,독바위,
월곡,상월곡,고려대,
월드컵경기장,마포구청,디지털미디어시티,
응암,새절,역촌,
이태원,한강진,녹사평,
증산,디지털미디어시티,새절,
창신,보문,동묘앞,
청구,신당,약수,
태릉입구,화랑대,석계,
한강진,버티고개,이태원,
합정,상수,망원,
화랑대,봉화산,태릉입구,
효창공원앞,삼각지,공덕,
가산디지털단지,남구로,철산,
강남구청,청담,학동,
건대입구,어린이대공원,뚝섬유원지,
고속터미널,반포,내방,
공릉,하계,태릉입구,
광명사거리,철산,천왕,
군자,중곡,어린이대공원,
굴포천,삼산체육관,부평구청,
까치울,온수,부천종합운동장,
남구로,대림,가산디지털단지,
남성,이수,숭실대입구,
내방,고속터미널,이수,
노원,마들,중계,
논현,학동,반포,
대림,신풍,남구로,
도봉산,장암,수락산,
뚝섬유원지,건대입구,청담,
마들,수락산,노원,
먹골,태릉입구,중화,
면목,상봉,사가정,
반포,논현,고속터미널,
보라매,신대방삼거리,신풍,
부천시청,신중동,상동,
부천종합운동장,까치울,춘의,
부평구청,굴포천,,
사가정,면목,용마산,
삼산체육관,상동,굴포천,
상도,숭실대입구,장승배기,
상동,부천시청,삼산체육관,
상봉,중화,면목,
수락산,도봉산,마들,
숭실대입구,남성,상도,
신대방삼거리,장승배기,보라매,
신중동,춘의,부천시청,
신풍,보라매,대림,
어린이대공원,군자,건대입구,
온수,천왕,까치울,
용마산,사가정,중곡,
이수,내방,남성,
장승배기,상도,신대방삼거리,
장암,도봉산,,
중계,노원,하계,
중곡,용마산,군자,
중화,먹골,상봉,
천왕,광명사거리,온수,
철산,가산디지털단지,광명사거리,
청담,뚝섬유원지,강남구청,
춘의,부천종합운동장,신중동,
태릉입구,공릉,먹골,
하계,중계,공릉,
학동,강남구청,논현,
가락시장,송파,문정,
강동구청,천호,몽촌토성,
남한산성입구,산성,단대오거리,
단대오거리,남한산성입구,신흥,
모란,수진,,
몽촌토성,강동구청,잠실,
문정,가락시장,장지,
복정,장지,산성,
산성,복정,남한산성입구,
석촌,잠실,송파,
송파,석촌,가락시장,
수진,신흥,모란,
신흥,수진,단대오거리,
암사,천호,,
잠실,몽촌토성,석촌,
장지,문정,복정,
천호,암사,강동구청,
가양,양천향교,증미,
개화,김포공항,,
고속터미널,신반포,사평,
공항시장,김포공항,신방화,
구반포,동작,신반포,
국회의사당,당산,여의도,
김포공항,개화산,공항시장,
노들,노량진,흑석,
노량진,샛강,노들,
당산,선유도,국회의사당,
동작,흑석,구반포,
둔촌오륜,올림픽공원,중앙보훈병원,
등촌,증미,염창,
마곡나루,신방화,양천향교,
봉은사,삼성중앙,종합운동장,
사평,고속터미널,신논현,
삼성중앙,선정릉,봉은사,
삼전,종합운동장,석촌고분,
샛강,여의도,노량진,
석촌,석촌고분,송파나루,
석촌고분,삼전,석촌,
선유도,신목동,당산,
선정릉,언주,삼성중앙,
송파나루,석촌,한성백제,
신논현,사평,언주,
신목동,염창,선유도,
신반포,구반포,고속터미널,
신방화,공항시장,마곡나루,
양천향교,마곡나루,가양,
언주,신논현,선정릉,
여의도,국회의사당,샛강,
염창,등촌,신목동,
올림픽공원,한성백제,둔촌오륜,
종합운동장,봉은사,삼전,
중앙보훈병원,둔촌오륜,,
증미,가양,등촌,
한성백제,송파나루,올림픽공원,
흑석,노들,동작,
가좌,디지털미디어시티,홍대입구,신촌
강매,행신,화전,
곡산,백마,대곡,
공덕,서강대,효창공원앞,
구리,양원,도농,
국수,신원,아신,
금릉,금촌,운정,
금촌,월롱,금릉,
능곡,대곡,행신,
대곡,곡산,능곡,
덕소,양정,도심,
도농,구리,양정,
도심,덕소,팔당,
디지털미디어시티,수색,가좌,
망우,상봉,양원,
문산,임진강,파주,
백마,풍산,곡산,
상봉,중랑,망우,
서강대,홍대입구,공덕,
서빙고,이촌,한남,
서울역,신촌,,
수색,화전,디지털미디어시티,
신원,양수,국수,
신촌,가좌,서울역,
아신,국수,오빈,
야당,운정,탄현,
양수,운길산,신원,
양원,망우,구리,
양정,도농,덕소,
양평,오빈,원덕,
오빈,아신,양평,
옥수,한남,응봉,
왕십리,응봉,청량리,
용문,원덕,지평,
용산,효창공원앞,이촌,
운길산,팔당,양수,
운정,금릉,야당,
원덕,양평,용문,
월롱,파주,금촌,
응봉,옥수,왕십리,
이촌,용산,서빙고,
일산,탄현,풍산,
임진강,문산,,
중랑,회기,상봉,
지평,용문,,
청량리,왕십리,회기,
탄현,야당,일산,
파주,문산,월롱,
팔당,도심,운길산,
풍산,일산,백마,
한남,서빙고,옥수,
행신,능곡,강매,
홍대입구,가좌,서강대,
화전,강매,수색,
회기,청량리,중랑,
효창공원앞,공덕,용산,
가평,굴봉산,상천,
갈매,신내,별내,
강촌,김유정,백양리,
광운대,상봉,,
굴봉산,백양리,가평,
금곡,평내호평,사릉,
김유정,남춘천,강촌,
남춘천,춘천,김유정,
대성리,청평,마석,
마석,대성리,천마산,
망우,신내,상봉,
백양리,강촌,굴봉산,
별내,퇴계원,갈매,
사릉,금곡,퇴계원,
상봉,망우,중랑,광운대
상천,가평,청평,
신내,갈매,망우,
중랑,상봉,회기,
천마산,마석,평내호평,
청량리,회기,,
청평,상천,대성리,
춘천,남춘천,,
퇴계원,사릉,별내,
평내호평,천마산,금곡,
회기,중랑,청량리,
가천대,복정,태평,
강남구청,압구정로데오,선정릉,
개포동,구룡,대모산입구,
구룡,도곡,개포동,
구성,보정,신갈,
기흥,신갈,상갈,
대모산입구,개포동,수서,
도곡,한티,구룡,
망포,영통,매탄권선,
매교,수원시청,수원,
매탄권선,망포,수원시청,
모란,태평,야탑,
미금,정자,오리,
보정,죽전,구성,
복정,수서,가천대,
상갈,기흥,청명,
서울숲,왕십리,압구정로데오,
서현,이매,수내,
선릉,선정릉,한티,
선정릉,강남구청,선릉,
수내,서현,정자,
수서,대모산입구,복정,
수원,매교,,
수원시청,매탄권선,매교,
신갈,구성,기흥,
압구정로데오,서울숲,강남구청,
야탑,모란,이매,
영통,청명,망포,
오리,미금,죽전,
왕십리,청량리,서울숲,
이매,야탑,서현,
정자,수내,미금,
죽전,오리,보정,
청량리,왕십리,,
청명,상갈,영통,
태평,가천대,모란,
한티,선릉,도곡,
강남,양재,,
광교,광교중앙,,
광교중앙,광교,상현,
동천,미금,수지구청,
미금,정자,동천,
상현,성복,광교중앙,
성복,수지구청,상현,
수지구청,성복,동천,
양재,강남,양재시민의숲,
양재시민의숲,양재,청계산입구,
정자,판교,미금,
청계산입구,양재시민의숲,판교,
판교,청계산입구,정자,
